Date/Time,Environmental Audio Exposure (dBASPL),Source
2022-03-01 16:51:02,64.43,Mithat Can’s Apple Watch
2022-03-01 17:21:02,77.65,Mithat Can’s Apple Watch
2022-03-01 17:51:02,75.28,Mithat Can’s Apple Watch
2022-03-01 18:21:02,75.69,Mithat Can’s Apple Watch
2022-03-01 18:51:02,75.85,Mithat Can’s Apple Watch
2022-03-01 19:20:57,76.14,Mithat Can’s Apple Watch
2022-03-01 19:50:57,80.03,Mithat Can’s Apple Watch
2022-03-01 20:20:52,68.78,Mithat Can’s Apple Watch
2022-03-01 20:50:47,66.26,Mithat Can’s Apple Watch
2022-03-01 21:20:42,67.72,Mithat Can’s Apple Watch
2022-03-01 21:50:37,57.12,Mithat Can’s Apple Watch
2022-03-02 19:16:30,71.43,Mithat Can’s Apple Watch
2022-03-02 19:46:30,73.61,Mithat Can’s Apple Watch
2022-03-02 20:16:25,70.24,Mithat Can’s Apple Watch
2022-03-02 20:46:20,74.21,Mithat Can’s Apple Watch
2022-03-02 21:16:15,67.25,Mithat Can’s Apple Watch
2022-03-02 21:46:10,51.4,Mithat Can’s Apple Watch
2022-03-04 10:19:25,70.13,Mithat Can’s Apple Watch
2022-03-04 10:49:25,66.44,Mithat Can’s Apple Watch
2022-03-04 11:19:20,65.46,Mithat Can’s Apple Watch
2022-03-04 11:49:15,73.19,Mithat Can’s Apple Watch
2022-03-04 12:19:10,76.1,Mithat Can’s Apple Watch
2022-03-04 12:49:10,68.91,Mithat Can’s Apple Watch
2022-03-04 13:19:05,68.51,Mithat Can’s Apple Watch
2022-03-04 13:49:05,68.99,Mithat Can’s Apple Watch
2022-03-04 14:19:00,68.57,Mithat Can’s Apple Watch
2022-03-04 14:48:55,62.19,Mithat Can’s Apple Watch
2022-03-04 15:18:50,66.68,Mithat Can’s Apple Watch
2022-03-04 15:48:50,64.55,Mithat Can’s Apple Watch
2022-03-04 16:18:45,45.55,Mithat Can’s Apple Watch
2022-03-04 16:48:45,52.02,Mithat Can’s Apple Watch
2022-03-04 19:00:24,74.26,Mithat Can’s Apple Watch
2022-03-04 19:30:19,77.04,Mithat Can’s Apple Watch
2022-03-04 20:00:14,72.36,Mithat Can’s Apple Watch
2022-03-04 20:30:09,71.3,Mithat Can’s Apple Watch
2022-03-04 21:00:09,81.41,Mithat Can’s Apple Watch
2022-03-04 21:30:04,71.08,Mithat Can’s Apple Watch
2022-03-04 22:00:04,78.05,Mithat Can’s Apple Watch
2022-03-04 22:29:59,74.6,Mithat Can’s Apple Watch
2022-03-04 22:59:54,87.97,Mithat Can’s Apple Watch
2022-03-04 23:29:54,65.06,Mithat Can’s Apple Watch
2022-03-04 23:59:49,57.79,Mithat Can’s Apple Watch
2022-03-05 00:29:44,50.48,Mithat Can’s Apple Watch
2022-03-05 00:59:39,47.88,Mithat Can’s Apple Watch
2022-03-05 20:53:47,77.67,Mithat Can’s Apple Watch
2022-03-05 21:23:42,80.38,Mithat Can’s Apple Watch
2022-03-05 21:53:37,84.59,Mithat Can’s Apple Watch
2022-03-05 22:23:32,88.02,Mithat Can’s Apple Watch
2022-03-05 22:52:52,87.02,Mithat Can’s Apple Watch
2022-03-05 23:19:52,92.6,Mithat Can’s Apple Watch
2022-03-05 23:44:52,96.63,Mithat Can’s Apple Watch
2022-03-06 00:10:02,97.32,Mithat Can’s Apple Watch
2022-03-06 00:34:47,94.07,Mithat Can’s Apple Watch
2022-03-06 01:00:07,96.6,Mithat Can’s Apple Watch
2022-03-06 01:24:47,95.52,Mithat Can’s Apple Watch
2022-03-06 01:49:11,95.55,Mithat Can’s Apple Watch
2022-03-06 02:13:21,92.46,Mithat Can’s Apple Watch
2022-03-06 02:38:21,90.23,Mithat Can’s Apple Watch
2022-03-06 03:05:31,92.76,Mithat Can’s Apple Watch
2022-03-06 03:32:59,89.61,Mithat Can’s Apple Watch
2022-03-06 04:01:34,83.28,Mithat Can’s Apple Watch
2022-03-06 04:31:34,80.33,Mithat Can’s Apple Watch
2022-03-06 05:01:29,75.9,Mithat Can’s Apple Watch
2022-03-06 05:31:29,69.75,Mithat Can’s Apple Watch
2022-03-06 06:01:24,54.7,Mithat Can’s Apple Watch
2022-03-06 06:31:19,67.78,Mithat Can’s Apple Watch
2022-03-07 19:50:11,75.92,Mithat Can’s Apple Watch
2022-03-07 20:20:11,73.14,Mithat Can’s Apple Watch
2022-03-07 20:50:11,75.67,Mithat Can’s Apple Watch
2022-03-07 21:20:11,79.11,Mithat Can’s Apple Watch
2022-03-07 21:50:11,78.47,Mithat Can’s Apple Watch
2022-03-07 22:20:06,72.92,Mithat Can’s Apple Watch
2022-03-07 22:50:06,68.72,Mithat Can’s Apple Watch
2022-03-07 23:20:06,66.83,Mithat Can’s Apple Watch
2022-03-07 23:50:06,71.96,Mithat Can’s Apple Watch
2022-03-08 00:20:06,62.94,Mithat Can’s Apple Watch
2022-03-08 00:50:06,61.99,Mithat Can’s Apple Watch
2022-03-08 10:51:56,62.03,Mithat Can’s Apple Watch
2022-03-08 11:21:51,68.56,Mithat Can’s Apple Watch
2022-03-08 11:51:46,72.9,Mithat Can’s Apple Watch
2022-03-08 12:21:41,67.14,Mithat Can’s Apple Watch
2022-03-08 12:51:36,70.19,Mithat Can’s Apple Watch
2022-03-08 13:21:36,69.35,Mithat Can’s Apple Watch
2022-03-08 13:51:36,69.11,Mithat Can’s Apple Watch
2022-03-08 14:21:36,68.91,Mithat Can’s Apple Watch
2022-03-08 14:51:31,70.81,Mithat Can’s Apple Watch
2022-03-08 15:21:26,65.18,Mithat Can’s Apple Watch
2022-03-08 15:51:26,55.13,Mithat Can’s Apple Watch
2022-03-08 16:21:26,65.66,Mithat Can’s Apple Watch
2022-03-08 16:51:21,68.65,Mithat Can’s Apple Watch
2022-03-08 17:21:21,77.09,Mithat Can’s Apple Watch
