Date/Time,Heart Rate Variability (ms),Source
2022-06-19 16:30:39,47.77,Mithat Can’s Apple Watch
2022-06-19 22:55:45,26.6,Mithat Can’s Apple Watch
2022-06-20 21:42:54,59.96,Mithat Can’s Apple Watch
2022-06-21 01:18:09,61.46,Mithat Can’s Apple Watch
2022-06-21 08:20:10,61.92,Mithat Can’s Apple Watch
2022-06-21 09:05:27,70.57,Mithat Can’s Apple Watch
2022-06-21 12:49:52,53.55,Mithat Can’s Apple Watch
2022-06-21 16:26:07,89.43,Mithat Can’s Apple Watch
2022-06-21 20:26:08,29.63,Mithat Can’s Apple Watch
2022-06-22 10:04:25,42.24,Mithat Can’s Apple Watch
2022-06-22 12:28:02,26.14,Mithat Can’s Apple Watch
2022-06-22 17:07:41,53.33,Mithat Can’s Apple Watch
2022-06-23 00:07:36,49.67,Mithat Can’s Apple Watch
2022-06-23 01:12:14,46.06,Mithat Can’s Apple Watch
2022-06-23 13:46:40,39.61,Mithat Can’s Apple Watch
2022-06-23 16:51:32,39.6,Mithat Can’s Apple Watch
2022-06-23 21:42:25,41.28,Mithat Can’s Apple Watch
2022-06-24 00:45:28,62.53,Mithat Can’s Apple Watch
2022-06-24 16:36:01,36.61,Mithat Can’s Apple Watch
2022-06-24 16:38:12,42.58,Mithat Can’s Apple Watch
2022-06-25 13:47:34,22.93,Mithat Can’s Apple Watch
2022-06-25 17:36:44,40.31,Mithat Can’s Apple Watch
2022-06-26 13:20:36,16.8,Mithat Can’s Apple Watch
2022-06-26 17:30:54,45.45,Mithat Can’s Apple Watch
2022-06-26 20:29:24,60.38,Mithat Can’s Apple Watch
2022-06-27 12:53:58,30.43,Mithat Can’s Apple Watch
2022-06-27 15:59:25,46.05,Mithat Can’s Apple Watch
2022-06-29 19:38:45,36.97,Mithat Can’s Apple Watch
2022-06-29 20:01:53,32.26,Mithat Can’s Apple Watch
2022-06-30 14:36:20,26.23,Mithat Can’s Apple Watch
2022-06-30 16:04:27,59.11,Mithat Can’s Apple Watch
2022-06-30 19:46:06,81.92,Mithat Can’s Apple Watch
2022-06-30 23:58:27,43.93,Mithat Can’s Apple Watch
2022-07-02 11:59:50,29.66,Mithat Can’s Apple Watch
2022-07-02 19:43:10,55.82,Mithat Can’s Apple Watch
2022-07-02 23:10:56,25.56,Mithat Can’s Apple Watch
2022-07-04 20:01:52,65.19,Mithat Can’s Apple Watch
2022-07-05 23:10:24,26.47,Mithat Can’s Apple Watch
2022-07-05 23:31:36,61.11,Mithat Can’s Apple Watch
2022-07-06 22:34:08,24.44,Mithat Can’s Apple Watch
2022-07-07 00:28:30,104.28,Mithat Can’s Apple Watch
2022-07-07 03:31:00,120.77,Mithat Can’s Apple Watch
2022-07-07 07:12:09,39.72,Mithat Can’s Apple Watch
2022-07-07 11:10:52,55.41,Mithat Can’s Apple Watch
2022-07-07 15:47:13,70.87,Mithat Can’s Apple Watch
2022-07-07 19:58:43,72.03,Mithat Can’s Apple Watch
2022-07-08 07:41:48,79.1,Mithat Can’s Apple Watch
2022-07-08 16:50:38,36.49,Mithat Can’s Apple Watch
2022-07-08 19:18:41,35.31,Mithat Can’s Apple Watch
2022-07-08 23:19:43,89.99,Mithat Can’s Apple Watch
2022-07-09 03:12:55,118.23,Mithat Can’s Apple Watch
2022-07-09 07:19:19,66.66,Mithat Can’s Apple Watch
2022-07-09 16:07:27,28.32,Mithat Can’s Apple Watch
2022-07-09 19:30:00,26.91,Mithat Can’s Apple Watch
2022-07-10 18:14:28,77.61,Mithat Can’s Apple Watch
2022-07-10 19:10:53,61.02,Mithat Can’s Apple Watch
2022-07-10 23:25:46,46.76,Mithat Can’s Apple Watch
2022-07-11 18:07:58,34.03,Mithat Can’s Apple Watch
2022-07-11 19:38:40,46.61,Mithat Can’s Apple Watch
2022-07-12 17:48:07,31.98,Mithat Can’s Apple Watch
2022-07-12 17:50:14,47.03,Mithat Can’s Apple Watch
2022-07-12 20:06:28,16.1,Mithat Can’s Apple Watch
2022-07-13 14:16:20,54.93,Mithat Can’s Apple Watch
2022-07-13 16:43:51,77.94,Mithat Can’s Apple Watch
2022-07-13 19:27:33,38.37,Mithat Can’s Apple Watch
2022-07-14 17:38:55,62.12,Mithat Can’s Apple Watch
2022-07-14 19:43:42,53.62,Mithat Can’s Apple Watch
2022-07-15 16:47:45,23.19,Mithat Can’s Apple Watch
2022-07-15 19:14:41,31.36,Mithat Can’s Apple Watch
2022-07-16 17:53:47,43.72,Mithat Can’s Apple Watch
2022-07-16 21:37:24,57.79,Mithat Can’s Apple Watch
2022-07-17 18:59:35,54.3,Mithat Can’s Apple Watch
2022-07-17 20:19:16,60.84,Mithat Can’s Apple Watch
2022-07-18 18:54:21,45.6,Mithat Can’s Apple Watch
2022-07-18 19:25:28,25.68,Mithat Can’s Apple Watch
2022-07-19 17:59:01,40.8,Mithat Can’s Apple Watch
2022-07-19 19:15:22,36.69,Mithat Can’s Apple Watch
2022-07-19 23:24:55,20.85,Mithat Can’s Apple Watch
2022-07-20 18:10:03,41.08,Mithat Can’s Apple Watch
2022-07-20 22:06:33,18.69,Mithat Can’s Apple Watch
2022-07-22 16:33:37,34.36,Mithat Can’s Apple Watch
2022-07-22 19:15:59,59.15,Mithat Can’s Apple Watch
2022-07-22 23:10:55,36.57,Mithat Can’s Apple Watch
2022-07-23 21:27:53,16.45,Mithat Can’s Apple Watch
2022-07-24 20:18:17,46.22,Mithat Can’s Apple Watch
2022-07-25 06:56:34,72.36,Mithat Can’s Apple Watch
2022-07-25 19:17:37,39.58,Mithat Can’s Apple Watch
2022-07-25 23:26:13,42.69,Mithat Can’s Apple Watch
2022-07-26 12:37:40,34.82,Mithat Can’s Apple Watch
2022-07-26 17:22:26,51.66,Mithat Can’s Apple Watch
2022-07-26 20:23:26,41.25,Mithat Can’s Apple Watch
2022-07-26 22:44:13,46.76,Mithat Can’s Apple Watch
2022-07-27 09:06:51,72.14,Mithat Can’s Apple Watch
2022-07-27 10:42:31,65.69,Mithat Can’s Apple Watch
2022-07-27 15:10:26,77.5,Mithat Can’s Apple Watch
2022-07-28 18:07:23,60.03,Mithat Can’s Apple Watch
2022-07-28 19:09:09,45.19,Mithat Can’s Apple Watch
2022-07-29 08:41:57,53.33,Mithat Can’s Apple Watch
2022-07-29 09:20:33,120.75,Mithat Can’s Apple Watch
2022-07-29 10:44:28,27.89,Mithat Can’s Apple Watch
2022-07-29 15:08:04,46.09,Mithat Can’s Apple Watch
2022-07-29 18:49:52,47.33,Mithat Can’s Apple Watch
2022-07-30 15:53:31,67.24,Mithat Can’s Apple Watch
2022-07-30 16:30:42,46.28,Mithat Can’s Apple Watch
2022-07-31 17:34:59,25.92,Mithat Can’s Apple Watch
2022-07-31 23:09:54,103.44,Mithat Can’s Apple Watch
2022-07-31 23:28:15,43.31,Mithat Can’s Apple Watch
2022-08-01 15:29:17,46.08,Mithat Can’s Apple Watch
2022-08-02 15:36:57,59.33,Mithat Can’s Apple Watch
2022-08-03 14:49:14,35.74,Mithat Can’s Apple Watch
2022-08-03 18:09:04,41.01,Mithat Can’s Apple Watch
2022-08-03 23:19:46,38.04,Mithat Can’s Apple Watch
2022-08-04 18:34:03,48,Mithat Can’s Apple Watch
2022-08-04 21:42:47,57.46,Mithat Can’s Apple Watch
2022-08-05 19:22:03,40.58,Mithat Can’s Apple Watch
2022-08-05 21:46:53,16.45,Mithat Can’s Apple Watch
2022-08-06 01:44:45,35.74,Mithat Can’s Apple Watch
2022-08-06 16:31:22,26.85,Mithat Can’s Apple Watch
2022-08-06 18:31:54,30.62,Mithat Can’s Apple Watch
2022-08-06 22:11:40,36.16,Mithat Can’s Apple Watch
2022-08-07 16:32:24,72.62,Mithat Can’s Apple Watch
2022-08-07 17:40:10,28.1,Mithat Can’s Apple Watch
2022-08-07 21:42:40,50.68,Mithat Can’s Apple Watch
2022-08-08 19:53:42,39.93,Mithat Can’s Apple Watch
2022-08-08 22:06:40,37.47,Mithat Can’s Apple Watch
2022-08-09 18:19:50,43.1,Mithat Can’s Apple Watch
2022-08-09 22:40:06,47.02,Mithat Can’s Apple Watch
2022-08-10 09:43:55,90.51,Mithat Can’s Apple Watch
2022-08-10 19:03:50,45.97,Mithat Can’s Apple Watch
2022-08-10 22:08:32,33.62,Mithat Can’s Apple Watch
2022-08-11 20:17:03,31.04,Mithat Can’s Apple Watch
2022-08-11 22:12:12,52.37,Mithat Can’s Apple Watch
2022-08-12 13:40:25,43.53,Mithat Can’s Apple Watch
2022-08-12 17:40:10,26.78,Mithat Can’s Apple Watch
2022-08-12 22:21:29,49.03,Mithat Can’s Apple Watch
2022-08-13 08:07:26,126.39,Mithat Can’s Apple Watch
2022-08-13 09:46:02,59.33,Mithat Can’s Apple Watch
2022-08-13 15:41:30,43.99,Mithat Can’s Apple Watch
2022-08-13 18:47:05,43.96,Mithat Can’s Apple Watch
2022-08-15 08:59:32,42.94,Mithat Can’s Apple Watch
2022-08-15 11:58:34,53.03,Mithat Can’s Apple Watch
2022-08-15 13:50:20,26.04,Mithat Can’s Apple Watch
2022-08-15 18:26:51,25.4,Mithat Can’s Apple Watch
2022-08-15 22:41:03,42.59,Mithat Can’s Apple Watch
2022-08-16 11:38:12,58.16,Mithat Can’s Apple Watch
2022-08-16 17:33:25,53.64,Mithat Can’s Apple Watch
2022-08-16 19:13:51,25.76,Mithat Can’s Apple Watch
2022-08-16 21:47:52,79.04,Mithat Can’s Apple Watch
2022-08-17 09:33:16,69.58,Mithat Can’s Apple Watch
2022-08-17 10:26:39,38.98,Mithat Can’s Apple Watch
2022-08-17 18:43:29,46.68,Mithat Can’s Apple Watch
2022-08-17 22:00:01,41.57,Mithat Can’s Apple Watch
2022-08-18 15:47:51,52.08,Mithat Can’s Apple Watch
2022-08-18 17:50:27,41.1,Mithat Can’s Apple Watch
2022-08-18 21:46:17,37.49,Mithat Can’s Apple Watch
2022-08-19 10:54:57,26.8,Mithat Can’s Apple Watch
2022-08-19 13:39:58,28.64,Mithat Can’s Apple Watch
2022-08-19 17:41:14,39.67,Mithat Can’s Apple Watch
2022-08-19 21:38:50,43.93,Mithat Can’s Apple Watch
2022-08-20 11:56:03,57.58,Mithat Can’s Apple Watch
2022-08-20 14:24:43,37.16,Mithat Can’s Apple Watch
2022-08-20 18:31:11,23.42,Mithat Can’s Apple Watch
2022-08-20 21:56:47,23.17,Mithat Can’s Apple Watch
2022-08-21 10:35:22,19.99,Mithat Can’s Apple Watch
2022-08-21 17:47:54,34.8,Mithat Can’s Apple Watch
2022-08-21 21:41:14,35.03,Mithat Can’s Apple Watch
2022-08-22 11:07:47,34.39,Mithat Can’s Apple Watch
2022-08-22 13:38:57,45.84,Mithat Can’s Apple Watch
2022-08-22 18:37:08,31.29,Mithat Can’s Apple Watch
2022-08-23 10:48:59,51.22,Mithat Can’s Apple Watch
2022-08-23 15:30:56,32.22,Mithat Can’s Apple Watch
2022-08-23 18:14:58,25.64,Mithat Can’s Apple Watch
2022-08-23 22:17:13,50.15,Mithat Can’s Apple Watch
2022-08-24 01:41:12,36.75,Mithat Can’s Apple Watch
2022-08-24 18:18:14,26.2,Mithat Can’s Apple Watch
2022-08-24 21:39:49,25.7,Mithat Can’s Apple Watch
2022-08-25 18:33:01,29.94,Mithat Can’s Apple Watch
2022-08-26 18:48:33,34.27,Mithat Can’s Apple Watch
2022-08-26 22:05:05,34.28,Mithat Can’s Apple Watch
2022-08-27 16:17:36,70.07,Mithat Can’s Apple Watch
2022-08-28 19:05:38,21.81,Mithat Can’s Apple Watch
2022-08-28 21:56:17,37.3,Mithat Can’s Apple Watch
2022-08-29 04:05:04,56.23,Mithat Can’s Apple Watch
2022-08-29 05:40:03,51.49,Mithat Can’s Apple Watch
2022-08-29 10:08:28,37.65,Mithat Can’s Apple Watch
2022-08-29 13:58:25,46.81,Mithat Can’s Apple Watch
2022-08-30 21:13:19,40.94,Mithat Can’s Apple Watch
2022-08-30 22:01:16,49.04,Mithat Can’s Apple Watch
2022-08-31 01:57:49,31.06,Mithat Can’s Apple Watch
2022-08-31 16:46:05,17.26,Mithat Can’s Apple Watch
2022-08-31 17:57:27,42.55,Mithat Can’s Apple Watch
2022-09-01 08:08:21,40.67,Mithat Can’s Apple Watch
2022-09-01 13:01:42,39.71,Mithat Can’s Apple Watch
2022-09-01 14:18:07,38.85,Mithat Can’s Apple Watch
2022-09-01 17:51:30,44.26,Mithat Can’s Apple Watch
2022-09-01 21:45:06,69.76,Mithat Can’s Apple Watch
2022-09-02 08:15:06,50.55,Mithat Can’s Apple Watch
2022-09-02 09:58:31,31.74,Mithat Can’s Apple Watch
2022-09-02 14:07:45,30.86,Mithat Can’s Apple Watch
2022-09-02 17:44:19,71.92,Mithat Can’s Apple Watch
2022-09-03 02:22:41,44.61,Mithat Can’s Apple Watch
2022-09-03 02:24:53,28.5,Mithat Can’s Apple Watch
2022-09-03 05:38:49,46.7,Mithat Can’s Apple Watch
2022-09-03 11:18:14,37.1,Mithat Can’s Apple Watch
2022-09-03 19:16:04,21.81,Mithat Can’s Apple Watch
2022-09-03 23:51:00,64.99,Mithat Can’s Apple Watch
2022-09-04 02:02:56,39.19,Mithat Can’s Apple Watch
2022-09-04 18:03:07,23.75,Mithat Can’s Apple Watch
2022-09-04 18:08:52,24.14,Mithat Can’s Apple Watch
2022-09-05 07:44:04,50.79,Mithat Can’s Apple Watch
2022-09-05 09:46:13,30.7,Mithat Can’s Apple Watch
2022-09-05 14:22:56,24.98,Mithat Can’s Apple Watch
2022-09-05 17:38:49,26.74,Mithat Can’s Apple Watch
